xAxis	D_N2pcc_High	D_N2pcc_Loww	D_Ptccc_High	D_Ptccc_Loww	D_SPCNa_High	D_SPCNa_Loww	D_SPCNb_High	D_SPCNb_Loww	T_P1pcc_High	T_P1pcc_Loww	T_N2pcc_High	T_N2pcc_Loww	T_SPCNa_High	T_SPCNa_Loww	T_SPCNb_High	T_SPCNb_Loww
40	0.174672717	0.023061841	0.196053132	0.034037273	0.22014419	0.070113822	0.180469213	-0.01229852	0.074431145	0.102493036	0.126029992	0.085476109	0.12225552	0.085952159	0.097240346	0.070303631
44	0.107181788	-0.017722438	0.12937015	0.002467589	0.158107991	0.028198092	0.108630453	-0.056572955	0.035016608	0.164972163	0.086682089	0.144633519	0.081588162	0.149232502	0.055368157	0.138403989
48	0.044213678	-0.058859906	0.070324747	-0.033102121	0.095127808	-0.016041429	0.040660593	-0.098212808	0.001603487	0.217364114	0.051510206	0.191398038	0.045566308	0.199154609	0.018577582	0.188381571
52	-0.001755157	-0.091938629	0.031189983	-0.064889771	0.046098604	-0.052420314	-0.009457408	-0.128027242	-0.016466162	0.24682182	0.032080333	0.213885382	0.026040255	0.223904743	-0.000688782	0.211345112
56	-0.032559419	-0.112338892	0.006415906	-0.087127326	0.014352045	-0.075696644	-0.041174982	-0.141660246	-0.015229775	0.248194651	0.030696253	0.208977694	0.025662446	0.220276621	0.000484915	0.206491753
60	-0.058522398	-0.125121774	-0.019835743	-0.103568745	-0.009879614	-0.091245356	-0.065714016	-0.146267775	0.009968292	0.223222904	0.050580298	0.179528497	0.047931587	0.190742501	0.026091586	0.176701877
64	-0.084641124	-0.137276473	-0.054970295	-0.120693834	-0.034053907	-0.106578964	-0.090876849	-0.151455719	0.057092589	0.183428752	0.091454868	0.136097872	0.0918131	0.145931303	0.07424379	0.134154909
68	-0.101648128	-0.15038488	-0.084416669	-0.139876945	-0.049218395	-0.123346171	-0.107688337	-0.160161411	0.112121662	0.151051948	0.141649302	0.09725166	0.144220022	0.105680462	0.130142332	0.102937973
72	-0.09611326	-0.15995243	-0.085118259	-0.155378107	-0.041753551	-0.136247725	-0.100254489	-0.166655298	0.158826044	0.14293062	0.185264411	0.077808934	0.188481368	0.086137849	0.176402587	0.100242294
76	-0.064948661	-0.159415132	-0.048829057	-0.158025702	-0.010903455	-0.13817986	-0.064046744	-0.161782747	0.185898204	0.154042647	0.21038746	0.075045489	0.213035671	0.084192867	0.202639679	0.11800358
80	-0.015512866	-0.143898911	0.012788265	-0.141207293	0.032558451	-0.126084909	-0.007713334	-0.140860772	0.18767559	0.163886229	0.211031389	0.073190798	0.212603443	0.082387023	0.204499902	0.132158474
84	0.040262808	-0.111302646	0.078489756	-0.104517574	0.075360791	-0.099499129	0.05459937	-0.104820355	0.16280574	0.160561485	0.184587079	0.064183457	0.184584046	0.071991962	0.178853131	0.13016648
88	0.091274528	-0.064752051	0.132071176	-0.055039614	0.109458348	-0.060397298	0.110833852	-0.058181044	0.113632198	0.151441039	0.131017299	0.055312025	0.128255497	0.061613665	0.122973505	0.120393256
92	0.132145606	-0.01355793	0.170083204	-0.004350243	0.137180077	-0.015737428	0.154859012	-0.008335496	0.048130526	0.149626632	0.058352555	0.05523848	0.051628605	0.061439114	0.043583037	0.116109211
